"List of plants for wind, United States, all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=008&geo=g&sec=g&freq=A&datecode=2019&rtype=s&pin=&rse=0&maptype=0&ltype=pin&ctype=linechart&end=202003&start=200101"
"Wed Jun 10 2020 09:54:52 GMT-0400 (EDT)"
"Source: U.S. Energy Information Administration"
"Plant Name","Plant Code","State","Sector Name","Prime Movers","Fuel Types"
"Munnsville Wind Farm LLC",56594,"NY","Electric utility non-cogen","WT","WND"
"Musselshell Wind Project",57963,"MT","Electric utility non-cogen","WT","WND"
"Musselshell Wind Project Two LLC",57965,"MT","Electric utility non-cogen","WT","WND"
"Mustang Hills LLC",57833,"CA","Electric utility non-cogen","WT","WND"
"NBC Field's Point Wind Farm",59692,"RI","Commercial non-cogen","WT","WND"
"NLMU Wind",58414,"IA","Electric utility","WT","WND"
"NWP Indian Mesa Wind Farm",55747,"TX","Electric utility non-cogen","WT","WND"
"NaturEner Glacier Wind Energy 1",57049,"MT","Electric utility non-cogen","WT","WND"
"NaturEner Glacier Wind Energy 2",57050,"MT","Electric utility non-cogen","WT","WND"
"NaturEner Rim Rock Energy",57995,"MT","Electric utility non-cogen","WT","WND"
"NedPower Mount Storm",56495,"WV","Electric utility non-cogen","WT","WND"
"New Creek Wind",60132,"WV","Electric utility non-cogen","WT","WND"
"New England Wind LLC",57380,"MA","Electric utility non-cogen","WT","WND"
"New Frontier Wind",59903,"ND","Electric utility non-cogen","WT","WND"
"New Harvest Wind Project LLC",57609,"IA","Electric utility non-cogen","WT","WND"
"New Mexico Wind Energy Center",56097,"NM","Electric utility non-cogen","WT","WND"
"NextEra-Blackwell Wind, LLC",58209,"OK","Electric utility non-cogen","WT","WND"
"Nine Canyon",7936,"WA","Electric utility","WT","WND"
"Ninnescah Wind Energy, LLC",60620,"KS","Electric utility non-cogen","WT","WND"
"Noble Altona Windpark LLC",56901,"NY","Electric utility non-cogen","WT","WND"
"Noble Bliss Windpark LLC",56620,"NY","Electric utility non-cogen","WT","WND"
"Noble Chateaugay Windpark LLC",56904,"NY","Electric utility non-cogen","WT","WND"
"Noble Clinton Windpark LLC",56618,"NY","Electric utility non-cogen","WT","WND"
"Noble Ellenburg Windpark LLC",56619,"NY","Electric utility non-cogen","WT","WND"
"Noble Ridge LLC",55782,"MN","Electric utility non-cogen","WT","WND"
"Noble Wethersfield Windpark LLC",56902,"NY","Electric utility non-cogen","WT","WND"
"Nobles Wind Project",57047,"MN","Electric utility","WT","WND"
"North Allegheny Windpower Project",56651,"PA","Electric utility non-cogen","WT","WND"
"North English",62133,"IA","Electric utility","WT","WND"
"North English II",62608,"IA","Electric utility","WT","WND"
"North Hurlburt Wind LLC",57526,"OR","Electric utility non-cogen","WT","WND"
"North Sky River Energy LLC",58154,"CA","Electric utility non-cogen","WT","WND"
"Northern Colorado Wind LLC",57290,"CO","Electric utility non-cogen","WT","WND"
"Northern Iowa Windfarm",55804,"IA","Electric utility non-cogen","WT","WND"
"Northern Iowa Windpower II",56383,"IA","Electric utility non-cogen","WT","WND"
"Northern Lights Wind LLC",56411,"MN","Electric utility non-cogen","WT","WND"
"Northwest Ohio Wind",59296,"OH","Electric utility non-cogen","WT","WND"
"Notrees Windpower Hybrid",56961,"TX","Electric utility non-cogen","WT,BA","WND,MWH"
"Notus Wind 1",57414,"MA","Electric utility non-cogen","WT","WND"
"O'Brien Wind",60326,"IA","Electric utility","WT","WND"
"OU Spirit Wind Farm",57286,"OK","Electric utility","WT","WND"
"Oak Creek Energy Systems I",50754,"CA","Electric utility non-cogen","WT","WND"
"Oak Glen Wind Farm",57432,"MN","Electric utility","WT","WND"
"Oak Tree Energy",59435,"SD","Electric utility non-cogen","WT","WND"
"Oakfield Wind Project",57002,"ME","Electric utility non-cogen","WT","WND"
"Oasis Wind",56302,"CA","Electric utility non-cogen","WT","WND"
"Ocotillo Express LLC",57514,"CA","Electric utility non-cogen","WT","WND"
"Ocotillo Windpower",56959,"TX","Electric utility non-cogen","WT","WND"
"Odell Wind Farm",58657,"MN","Electric utility non-cogen","WT","WND"
"Odin Wind Farm LLC",56755,"MN","Electric utility non-cogen","WT","WND"
"Oklahoma Wind Energy Center",56094,"OK","Electric utility non-cogen","WT","WND"
"Old Settler Wind",60366,"TX","Electric utility non-cogen","WT","WND"
"Old Trail Wind Farm",56614,"IL","Electric utility non-cogen","WT","WND"
"Oliver Wind III, LLC",60905,"ND","Electric utility non-cogen","WT","WND"
"Optimum Wind 3 LLC",59227,"IA","Electric utility non-cogen","WT","WND"
"Optimum Wind 4 LLC",59226,"IA","Electric utility non-cogen","WT","WND"
"Optimum Wind 5 LLC",59223,"IA","Electric utility non-cogen","WT","WND"
"Optimum Wind 6 LLC",59224,"IA","Electric utility non-cogen","WT","WND"
"Optimum Wind 7 LLC",59225,"IA","Electric utility non-cogen","WT","WND"
"Oregon Trail Wind Park",56439,"ID","Electric utility non-cogen","WT","WND"
"Oregon Trail Windfarm LLC",56971,"OR","Electric utility non-cogen","WT","WND"
"Orient Wind Farm",61077,"IA","Electric utility","WT","WND"
"Origin Wind",58938,"OK","Electric utility non-cogen","WT","WND"
"Osage (IA)",1172,"IA","Electric utility","WT,IC,PV","WND,NG,DFO,SUN"
"Osage Wind, LLC",58683,"OK","Electric utility non-cogen","WT","WND"
"Osborn Wind Energy",60672,"MO","Electric utility non-cogen","WT","WND"
"Osceola Windpower II",56913,"IA","Electric utility non-cogen","WT","WND"
"Osceola Windpower LLC",56645,"IA","Electric utility non-cogen","WT","WND"
"PPL Frey Farm Landfill Wind",57182,"PA","Electric utility non-cogen","WT","WND"
"PYCO Industries, Inc. Wind Farm",61848,"TX","Industrial non-cogen","WT","WND"
"PaTu Wind Farm LLC",57578,"OR","Electric utility non-cogen","WT","WND"
"Pacific Canyon Windfarm LLC",56972,"OR","Electric utility non-cogen","WT","WND"
"Pacific Wind LLC",57757,"CA","Electric utility non-cogen","WT","WND"
"Painted Hills Wind Park",50533,"CA","Electric utility non-cogen","WT","WND"
"Pakini Nui Wind Farm",56378,"HI","Electric utility non-cogen","WT","WND"
"Palmer's Creek Wind Farm, LLC",62291,"MN","Electric utility non-cogen","WT","WND"
"Palo Duro Wind",59475,"TX","Electric utility non-cogen","WT","WND"
"Palouse",57530,"WA","Electric utility non-cogen","WT","WND"
"Pantex",58404,"TX","Commercial non-cogen","WT","WND"
"Panther Creek Wind Farm I",56920,"TX","Electric utility non-cogen","WT","WND"
"Panther Creek Wind Farm II",56921,"TX","Electric utility non-cogen","WT","WND"
"Panther Creek Wind Farm Three",56979,"TX","Electric utility non-cogen","WT","WND"
"Papalote Creek I LLC",56983,"TX","Electric utility non-cogen","WT","WND"
"Papalote Creek II LLC",57212,"TX","Electric utility non-cogen","WT","WND"
"Passadumkeag Windpark LLC",59222,"ME","Electric utility non-cogen","WT","WND"
"Patriot Wind Farm",58614,"TX","Electric utility non-cogen","WT","WND"
"Pattern Gulf Wind",56661,"TX","Electric utility non-cogen","WT","WND"
"Pattern Panhandle Wind 2 LLC",58720,"TX","Electric utility non-cogen","WT","WND"
"Pattern Panhandle Wind LLC",58242,"TX","Electric utility non-cogen","WT","WND"
"Patton Wind Farm",57999,"PA","Electric utility non-cogen","WT","WND"
"Paulding Wind Farm II",57620,"OH","Electric utility non-cogen","WT","WND"
"Paulding Wind Farm III",60470,"OH","Electric utility non-cogen","WT","WND"
"Payne's Ferry",57124,"ID","Electric utility non-cogen","WT","WND"
"Peak View Wind Farm",60143,"CO","Electric utility","WT","WND"
"Pebble Springs Wind LLC",56789,"OR","Electric utility non-cogen","WT","WND"
"Peetz Table Wind Energy",56563,"CO","Electric utility non-cogen","WT","WND"
"Pembina Land Port of Entry Wind Turbine",62782,"ND","Commercial non-cogen","WT","WND"
"Penascal II Wind Project LLC",57095,"TX","Electric utility non-cogen","WT","WND"
"Penascal Wind Power LLC",56795,"TX","Electric utility non-cogen","WT","WND"
"Perennial Windfarm",61677,"NE","Electric utility non-cogen","WT","WND"
"Perrin Ranch Wind LLC",58155,"AZ","Electric utility non-cogen","WT","WND"
"Persimmon Creek Wind Farm 1, LLC",61876,"OK","Electric utility non-cogen","WT","WND"
"Pheasant Run Wind LLC",58580,"MI","Electric utility non-cogen","WT","WND"
"Pike County Wind Power",56376,"IL","Electric utility","WT","WND"
"Pilgrim Stage Wind Park",56440,"ID","Electric utility non-cogen","WT","WND"
"Pillar Mountain Wind Project Microgrid",57187,"AK","Electric utility","WT","WND"
"Pilot Hill Wind Farm",58898,"IL","Electric utility non-cogen","WT","WND"
"Pine River Wind Park",61106,"MI","Electric utility","WT","WND"
"Pine Tree Wind Power Project",56433,"CA","Electric utility","WT","WND"
"Pinnacle Wind Force LLC",57595,"WV","Electric utility non-cogen","WT","WND"
"Pinyon Pine I",57834,"CA","Electric utility non-cogen","WT","WND"
"Pinyon Pine II",57837,"CA","Electric utility non-cogen","WT","WND"
"Pioneer Prairie Wind Farm",56797,"IA","Electric utility non-cogen","WT","WND"
"Pioneer Trail Wind Farm, LLC",57675,"IL","Electric utility non-cogen","WT","WND"
"Pioneer Wind Park, LLC",60259,"WY","Electric utility non-cogen","WT","WND"
"Pisgah Mountain Wind",60404,"ME","Electric utility non-cogen","WT","WND"
"Pleasant Hill Wind Energy Project",59417,"TX","Electric utility non-cogen","WT","WND"
"Pleasant Valley Wind Farm",59201,"MN","Electric utility","WT","WND"
"Pocahontas Prairie Wind Farm",57976,"IA","Electric utility non-cogen","WT","WND"
"Polk County Renewables, LLC",62333,"NE","Electric utility non-cogen","WT","WND"
"Pomeroy Wind Farm",56501,"IA","Electric utility","WT","WND"
"Porterhouse Wind (4) LLC",56560,"TX","Electric utility non-cogen","WT","WND"
"Poseidon Wind, LLC",57379,"AZ","Electric utility non-cogen","WT","WND"
"Post Oak Wind LLC",56483,"TX","Electric utility non-cogen","WT","WND"
"Post Rock Wind Power Project, LLC",57678,"KS","Electric utility non-cogen","WT","WND"
"Post Wind Farm LP",56457,"TX","Electric utility non-cogen","WT","WND"
"Power County Wind Park North",57761,"ID","Electric utility non-cogen","WT","WND"
"Power County Wind Park South",57760,"ID","Electric utility non-cogen","WT","WND"
"Prairie Breeze",58322,"NE","Electric utility non-cogen","WT","WND"
"Prairie Breeze II",60262,"NE","Electric utility non-cogen","WT","WND"
"Prairie Breeze III",60314,"NE","Electric utility non-cogen","WT","WND"
"Prairie Queen Wind Farm",62488,"KS","Electric utility non-cogen","WT","WND"
"Prairie Rose Wind Farm",57644,"MN","Electric utility non-cogen","WT","WND"
"Prairie Star Wind Farm",56494,"MN","Electric utility non-cogen","WT","WND"
"Prairie Wind Farm",60873,"IA","Electric utility","WT","WND"
"Prairie Wind Power LLC",56628,"MN","Electric utility non-cogen","WT","WND"
"Prairie Winds ND1",56607,"ND","Electric utility","WT","WND"
"Prairie Winds SD1",56608,"SD","Electric utility","WT","WND"
"Pratt Wind, LLC",61957,"KS","Electric utility non-cogen","WT","WND"
"Princeton Wind Farm",7501,"MA","Electric utility","WT","WND"
"Prospector Windfarm (Burnt River)",59493,"OR","Electric utility non-cogen","WT","WND"
"Providence Heights Wind LLC",56622,"IL","Electric utility non-cogen","WT","WND"
"Pyron Wind Farm LLC Hybrid",56981,"TX","Electric utility non-cogen","WT,BA","WND,MWH"
"Quilt Block Wind Farm LLC",57116,"WI","Electric utility non-cogen","WT","WND"
"RP Wind",58630,"OH","Electric utility non-cogen","WT","WND"
"Radfords Run Wind Farm",59061,"IL","Electric utility non-cogen","WT","WND"
"Rail Splitter Wind Farm",56856,"IL","Electric utility non-cogen","WT","WND"
"Ralls Wind Farm",57474,"TX","Electric utility non-cogen","WT","WND"
"Ranchero Wind Farm LLC",62259,"TX","Electric utility non-cogen","WT","WND"
"Rattlesnake Creek Wind Project",59292,"NE","Electric utility non-cogen","WT","WND"
"Rattlesnake Den",59943,"TX","Electric utility non-cogen","WT","WND"
"Rattlesnake Power, LLC",60743,"TX","Electric utility non-cogen","WT","WND"
"Record Hill Wind",57568,"ME","Electric utility non-cogen","WT","WND"
"Red Dirt Wind Project",61270,"OK","Electric utility non-cogen","WT","WND"
"Red Hills Wind Project LLC",56804,"OK","Electric utility non-cogen","WT","WND"
"Red Horse 2",58833,"AZ","Electric utility non-cogen","WT,PV","WND,SUN"
"Red Mesa Wind LLC",57357,"NM","Electric utility non-cogen","WT","WND"
"Red Pine Wind Project",61357,"MN","Electric utility non-cogen","WT","WND"
"Redbed Plains Wind Farm",61221,"OK","Electric utility non-cogen","WT","WND"
"Redwood Falls Wind",56414,"MN","Electric utility","WT","WND"
"Ribeye Wind (11) LLC",56835,"TX","Electric utility non-cogen","WT","WND"
"Ridge Crest Wind Partners",55741,"CO","Electric utility non-cogen","WT","WND"
"Ridgetop",54931,"CA","Electric utility non-cogen","WT","WND"
"Ridgetop Energy LLC",10597,"CA","Electric utility non-cogen","WT","WND"
"Ridgewind",57386,"MN","Electric utility non-cogen","WT","WND"
"Ringer Hill Wind Farm, LLC",60329,"PA","Electric utility non-cogen","WT","WND"
"Rio Bravo Windpower, LLC",61865,"TX","Electric utility non-cogen","WT","WND"
"Rippey Wind Farm",57830,"IA","Electric utility non-cogen","WT","WND"
"Rising Tree Wind Farm",57621,"CA","Electric utility non-cogen","WT","WND"
"Rising Tree Wind Farm II",59235,"CA","Electric utility non-cogen","WT","WND"
"Rising Tree Wind Farm III",59236,"CA","Electric utility non-cogen","WT","WND"
"Roadrunner I LLC",56578,"MN","Electric utility non-cogen","WT","WND"
"Rock Creek Wind Project",60655,"MO","Electric utility non-cogen","WT","WND"
"Rock Falls Wind Farm LLC",61261,"OK","Electric utility non-cogen","WT","WND"
"Rock River I LLC",55740,"WY","Electric utility non-cogen","WT","WND"
"Rockland Wind Farm",57766,"ID","Electric utility non-cogen","WT","WND"
"Rocksprings",60217,"TX","Electric utility non-cogen","WT","WND"
"Rocky Ridge Wind Project",58078,"OK","Electric utility non-cogen","WT","WND"
"Roeder Family Wind Farm LLC",58089,"IA","Electric utility non-cogen","WT","WND"
"Rolling Hills",56842,"WY","Electric utility","WT","WND"
"Rolling Hills Wind Farm",57501,"IA","Electric utility","WT","WND"
"Rolling Thunder Wind Farm Hybrid",57045,"SD","Electric utility non-cogen","WT","WND"
"Rollins Wind Project",56990,"ME","Electric utility non-cogen","WT","WND"
"Roosevelt County",58771,"NM","Electric utility non-cogen","WT","WND"
"Roscoe Wind Farm LLC",56593,"TX","Electric utility non-cogen","WT","WND"
"Roseman",62130,"IA","Electric utility non-cogen","WT","WND"
"Roth Rock North Wind Farm, LLC",57240,"MD","Electric utility non-cogen","WT","WND"
"Roth Rock Wind Farm LLC",57239,"MD","Electric utility non-cogen","WT","WND"
"Route 66 Wind Plant",58681,"TX","Electric utility non-cogen","WT","WND"
"Rugby Wind Power Project",57097,"ND","Electric utility non-cogen","WT","WND"
"Rush Creek Wind",60619,"CO","Electric utility","WT","WND"
"Rush Springs Wind",60592,"OK","Electric utility non-cogen","WT","WND"
"Ruthton Ridge LLC",55571,"MN","Electric utility non-cogen","WT","WND"
"Ryegrass Windfarm",57427,"ID","Electric utility non-cogen","WT","WND"
"S&P Windfarm LLC",56208,"MN","Electric utility non-cogen","WT","WND"
"Saddleback Ridge Wind Farm",58608,"ME","Electric utility non-cogen","WT","WND"
"Sagebrush Power Partners",56858,"WA","Electric utility non-cogen","WT","WND"
"Salmon Falls Wind Park",56441,"ID","Electric utility non-cogen","WT","WND"
"Salt Fork Wind Project, LLC",60657,"TX","Electric utility non-cogen","WT","WND"
"Salt Valley Wind Plant",7965,"NE","Electric utility","WT","WND"
"Salty Dog I LLC",56583,"MN","Electric utility non-cogen","WT","WND"
"Salty Dog II LLC",56584,"MN","Electric utility non-cogen","WT","WND"
"San Gorgonio Farms Wind Farm",50281,"CA","Electric utility non-cogen","WT","WND"
"San Gorgonio Westwinds II LLC",50690,"CA","Electric utility non-cogen","WT","WND"
"San Gorgonio Windplant WPP1993",54454,"CA","Electric utility non-cogen","WT","WND"
"San Juan Mesa Wind Project LLC",56304,"NM","Electric utility non-cogen","WT","WND"
"San Roman Wind I, LLC",59712,"TX","Electric utility non-cogen","WT","WND"
"Sand Bluff Wind Farm",56479,"TX","Electric utility non-cogen","WT","WND"
"Sand Ranch Windfarm LLC",56973,"OR","Electric utility non-cogen","WT","WND"
"Sandy Ridge Wind Farm",57285,"PA","Electric utility non-cogen","WT","WND"
"Santa Rita East",62038,"TX","Electric utility non-cogen","WT","WND"
"Santa Rita Wind Energy",60987,"TX","Electric utility non-cogen","WT","WND"
"Saratoga Wind Farm",61070,"IA","Electric utility","WT","WND"
"Sawtooth Wind Project",57749,"ID","Electric utility non-cogen","WT","WND"
"Scituate Wind",59724,"MA","Electric utility non-cogen","WT","WND"
"Scurry County Wind II",56775,"TX","Electric utility non-cogen","WT","WND"
"Scurry County Wind LP",56506,"TX","Electric utility non-cogen","WT","WND"
"Searsburg Wind Turbine",7381,"VT","Electric utility","WT","WND"
"Seiling Wind I",59311,"OK","Electric utility non-cogen","WT","WND"
"Seiling Wind II",59312,"OK","Electric utility non-cogen","WT","WND"
"Senate Wind LLC",57981,"TX","Electric utility non-cogen","WT","WND"
"Sendero",59654,"TX","Electric utility non-cogen","WT","WND"
"Seneca Nation Cattaraugus Wind Turbine",61734,"NY","Commercial non-cogen","WT","WND"
"Settlers Trail Wind Farm LLC",57493,"IL","Electric utility non-cogen","WT","WND"
"Seven Mile Hill",56843,"WY","Electric utility","WT","WND"
"Seward Wind Farm",61056,"NE","Electric utility non-cogen","WT","WND"
"Seymour Hills Wind Project, LLC",62227,"TX","Electric utility non-cogen","WT","WND"
"Shady Oaks Wind Farm",57964,"IL","Electric utility non-cogen","WT","WND"
"Shane's Wind Machine",56577,"MN","Electric utility non-cogen","WT","WND"
"Shannon Wind",59034,"TX","Electric utility non-cogen","WT","WND"
"Shaokatan Hills LLC",55354,"MN","Electric utility non-cogen","WT","WND"
"Sheffield Wind",57080,"VT","Electric utility non-cogen","WT","WND"
"Sherbino I Wind Farm",56779,"TX","Electric utility non-cogen","WT","WND"
"Sherbino II",57415,"TX","Electric utility non-cogen","WT","WND"
"Shiloh I Wind Project",56362,"CA","Electric utility non-cogen","WT","WND"
"Shiloh III Wind Project LLC",57586,"CA","Electric utility non-cogen","WT","WND"
"Shiloh IV Wind Project LLC",57725,"CA","Electric utility non-cogen","WT","WND"
"Shiloh Wind Project 2 LLC",56874,"CA","Electric utility non-cogen","WT","WND"
"Shirley Wind",57553,"WI","Electric utility non-cogen","WT","WND"
"Sholes Wind Energy Center",61889,"NE","Electric utility non-cogen","WT","WND"
"Shooting Star",58018,"KS","Electric utility non-cogen","WT","WND"
"Sigel Wind Park",57851,"MI","Electric utility","WT","WND"
"Silver Sage Windpower",57091,"WY","Electric utility non-cogen","WT","WND"
"Silver Star I Wind Power Project",56771,"TX","Electric utility non-cogen","WT","WND"
"Sky River LLC",50536,"CA","Electric utility non-cogen","WT","WND"
"Sky Volt",58460,"IA","Electric utility non-cogen","WT","WND"
"Slate Creek Wind Project LLC",59837,"KS","Electric utility non-cogen","WT","WND"
"Sleeping Bear LLC",56621,"OK","Electric utility non-cogen","WT","WND"
"Smoky Hills Wind Project Phase I",56488,"KS","Electric utility non-cogen","WT","WND"
"Smoky Hills Wind Project Phase II",56985,"KS","Electric utility non-cogen","WT","WND"
"Snake River",90,"AK","Electric utility","WT,IC","WND,DFO"
"Snyder Wind Farm",56602,"TX","Electric utility non-cogen","WT","WND"
"Solano Wind",7526,"CA","Electric utility","WT","WND"
"Soliloquoy Ridge LLC",55570,"MN","Electric utility non-cogen","WT","WND"
"Solomon Forks Wind Project, LLC",61984,"KS","Electric utility non-cogen","WT","WND"
"Somerset Windpower LLC",55803,"PA","Electric utility non-cogen","WT","WND"
"South Chestnut LLC",56796,"PA","Electric utility non-cogen","WT","WND"
"South Dakota Wind Energy Cente",56092,"SD","Electric utility non-cogen","WT","WND"
"South Fork Wind Farm",58691,"MN","Electric utility non-cogen","WT","WND"
"South Hurlburt Wind LLC",57549,"OR","Electric utility non-cogen","WT","WND"
"South Plains II",60087,"TX","Electric utility non-cogen","WT","WND"
"South Plains Wind Phase I",59384,"TX","Electric utility non-cogen","WT","WND"
"South Trent Wind Farm",56649,"TX","Electric utility non-cogen","WT","WND"
"Spanish Fork Wind Park 2 LLC",56751,"UT","Electric utility non-cogen","WT","WND"
"Spartan Hills LLC",55569,"MN","Electric utility non-cogen","WT","WND"
"Spearville",56351,"KS","Electric utility","WT","WND"
"Spearville 3 LLC",57975,"KS","Electric utility non-cogen","WT","WND"
"Spinning Spur Wind II",58774,"TX","Electric utility non-cogen","WT","WND"
"Spinning Spur Wind III",58775,"TX","Electric utility non-cogen","WT","WND"
"Spinning Spur Wind LLC",57973,"TX","Electric utility non-cogen","WT","WND"
"Spion Kop Wind Farm",58218,"MT","Electric utility","WT","WND"
"Spring Canyon",56320,"CO","Electric utility non-cogen","WT","WND"
"Spring Canyon Expansion Wind Energy Ctr",58769,"CO","Electric utility non-cogen","WT","WND"
"Spring Valley Wind Project",57192,"NV","Electric utility non-cogen","WT","WND"
"Springview",7771,"NE","Electric utility non-cogen","WT","WND"
"Spruce Mountain WInd",58026,"ME","Electric utility non-cogen","WT","WND"
"St. Olaf Wind Turbine",58995,"MN","Electric utility non-cogen","WT","WND"
"Stahl Wind Energy",56409,"MN","Electric utility non-cogen","WT","WND"
"Stanton Wind Energy LLC",56644,"TX","Electric utility non-cogen","WT","WND"
"Star Point Wind Project LLC",57096,"OR","Electric utility non-cogen","WT","WND"
"Steel Winds II",57078,"NY","Electric utility non-cogen","WT","WND"
"Steel Winds Wind Farm",56575,"NY","Electric utility non-cogen","WT","WND"
"Steele Flats Wind Project LLC",58594,"NE","Electric utility non-cogen","WT","WND"
"Stella Wind Farm",59063,"TX","Electric utility non-cogen","WT","WND"
"Stephens Ranch Wind Energy LLC",57983,"TX","Electric utility non-cogen","WT","WND"
"Sterling I Wind Farm",60991,"NM","Electric utility non-cogen","WT","WND"
"Stetson Wind I",56989,"ME","Electric utility non-cogen","WT","WND"
"Stetson Wind II",56991,"ME","Electric utility non-cogen","WT","WND"
"Stillwater Wind, LLC",61858,"MT","Electric utility non-cogen","WT","WND"
"Stoneray Power Partners, LLC",62269,"MN","Electric utility non-cogen","WT","WND"
"Stoney Corners Wind Farm",57131,"MI","Electric utility non-cogen","WT","WND"
"Stony Creek Wind Farm LLC",56980,"PA","Electric utility non-cogen","WT","WND"
"Stony Creek Wind Farm NY",58088,"NY","Electric utility non-cogen","WT","WND"
"Storm Lake 1",54793,"IA","Electric utility non-cogen","WT","WND"
"Storm Lake II",55287,"IA","Electric utility non-cogen","WT","WND"
"Story City Wind Project",58927,"IA","Electric utility non-cogen","WT","WND"
"Streator Cayuga Ridge South",57094,"IL","Electric utility non-cogen","WT","WND"
"Sun River LLC",55562,"MN","Electric utility non-cogen","WT","WND"
"Sunflower Wind Project",60088,"NY","Electric utility non-cogen","WT","WND"
"Sunray Wind I",57326,"TX","Electric utility non-cogen","WT","WND"
"Sunset Breeze LLC",56586,"MN","Electric utility non-cogen","WT","WND"
"Suzlon Project VIII LLC",57741,"TX","Electric utility non-cogen","WT","WND"
"Swanmill Windfarm I",54650,"CA","Electric utility non-cogen","WT","WND"
"Swauk Wind LLC",58441,"WA","Electric utility non-cogen","WT","WND"
"Sweetwater Wind 1 LLC",56211,"TX","Electric utility non-cogen","WT","WND"
"Sweetwater Wind 2 LLC",56212,"TX","Electric utility non-cogen","WT","WND"
"Sweetwater Wind 3 LLC",56311,"TX","Electric utility non-cogen","WT","WND"
"Sweetwater Wind 4 LLC",56337,"TX","Electric utility non-cogen","WT","WND"
"Sweetwater Wind 5",56372,"TX","Electric utility non-cogen","WT","WND"
"T-Bone Wind (10) LLC",56836,"TX","Electric utility non-cogen","WT","WND"
"TAC-Distributed Energy Resource Hybrid",61990,"IL","Electric utility","WT,PV,IC","WND,NG,SUN"
"TG Windfarm LLC",56199,"MN","Electric utility non-cogen","WT","WND"
"TPC Windfarms LLC",54647,"CA","Electric utility non-cogen","WT","WND"
"TPW Petersburg",57755,"NE","Electric utility non-cogen","WT","WND"
"TX Hereford Wind",58773,"TX","Electric utility non-cogen","WT","WND"
"TX Jumbo Road Wind",59621,"TX","Electric utility non-cogen","WT","WND"
"Taconite Ridge 1 Wind Energy Center",56630,"MN","Electric utility","WT","WND"
"Tahoka Wind",61921,"TX","Electric utility non-cogen","WT","WND"
"Taloga Wind LLC",57261,"OK","Electric utility non-cogen","WT","WND"
"Tatanka Wind Power LLC",56669,"ND","Electric utility non-cogen","WT","WND"
"Taylor Farms",59330,"CA","Electric utility non-cogen","WT","WND"
"Tehachapi Wind Resource I",10191,"CA","Electric utility non-cogen","WT","WND"
"Tehachapi Wind Resource II",54909,"CA","Electric utility non-cogen","WT","WND"
"Teichert Materials-Teichert Vernalis",57594,"CA","Electric utility non-cogen","WT","WND"
"Tenderloin Wind (6) LLC",56562,"TX","Electric utility non-cogen","WT","WND"
"Terra-Gen 251 Wind LLC",52161,"CA","Electric utility non-cogen","WT","WND"
"Terra-Gen VG Wind LLC",56570,"CA","Electric utility non-cogen","WT","WND"
"Texico Wind Ranch LP",57258,"NM","Electric utility non-cogen","WT","WND"
"Thousand Springs Wind Park",56442,"ID","Electric utility non-cogen","WT","WND"
"Threemile Canyon",56933,"OR","Electric utility non-cogen","WT","WND"
"Thunder Ranch Wind Project",61269,"OK","Electric utility non-cogen","WT","WND"
"Thunder Spirit Wind, LLC",58965,"ND","Electric utility","WT","WND"
"Tofteland Windfarm LLC",56202,"MN","Electric utility non-cogen","WT","WND"
"Tooele Army Depot",59817,"UT","Electric utility non-cogen","WT","WND"
"Top of Iowa Windfarm III",56386,"IA","Electric utility","WT","WND"
"Top of the World Windpower Project",57327,"WY","Electric utility non-cogen","WT","WND"
"Torrecillas Wind Energy, LLC",61969,"TX","Electric utility non-cogen","WT","WND"
"Town of Otis Wind Energy Project",61775,"MA","Commercial non-cogen","WT","WND"
"Traer Wind Project",58932,"IA","Electric utility non-cogen","WT","WND"
"TransAlta Wyoming Wind",56093,"WY","Electric utility non-cogen","WT","WND"
"Trent Wind Farm LP",55968,"TX","Electric utility non-cogen","WT","WND"
"Tri-Tip Wind (9) LLC",56837,"TX","Electric utility non-cogen","WT","WND"
"Trimont Area Wind Farm",56296,"MN","Electric utility non-cogen","WT","WND"
"Trinity Hills",57520,"TX","Electric utility non-cogen","WT","WND"
"Tsar Nicholas LLC",55561,"MN","Electric utility non-cogen","WT","WND"
"Tuana Gulch Wind Park",56443,"ID","Electric utility non-cogen","WT","WND"
"Tuana Springs",57136,"ID","Electric utility non-cogen","WT","WND"
"Tucannon River Wind Farm",58571,"WA","Electric utility","WT","WND"
"Tule Wind LLC",57913,"CA","Electric utility non-cogen","WT","WND"
"Tuolumne Wind Project",56702,"WA","Electric utility","WT","WND"
"Turkey Track Wind Energy LLC",56774,"TX","Electric utility non-cogen","WT","WND"
"Turtle Creek Wind Farm LLC",61638,"IA","Electric utility non-cogen","WT","WND"
"Tuscola Bay Wind",58351,"MI","Electric utility non-cogen","WT","WND"
"Tuscola Wind II LLC",58587,"MI","Electric utility non-cogen","WT","WND"
"Twin Buttes II Wind",61040,"CO","Electric utility non-cogen","WT","WND"
"Twin Buttes Wind Project",56460,"CO","Electric utility non-cogen","WT","WND"
"Twin Lake Hills LLC",55568,"MN","Electric utility non-cogen","WT","WND"
"Twin Ridges Wind Farm",57998,"PA","Electric utility non-cogen","WT","WND"
"Two Dot Wind Farm",59003,"MT","Electric utility","WT","WND"
"Two Ponds Windfarm",57444,"ID","Electric utility non-cogen","WT","WND"
